Level_Code,University,City,Course,Faculty,Local_Fees,Int_Fees,Currency,Currency_Time,Duration,Duration_Time,Full_Time,Part_Time,Prerequisite_1,Prerequisite_2,Prerequisite_3,Prerequisite_1_grade_1,Prerequisite_2_grade_2,Prerequisite_3_grade_3,Website,Course_Lang,Availability,Description,Career_Outcomes,Country,Online,Offline,Distance,Face_to_Face,Blended,Remarks,Course_Delivery_Mode,Free TAFE
GCERT,University Of Queenlands,Gatton,Graduate Certificate in Animal Science,Science,fees not listed,21264,AUD,Years,0.5,Years,Yes,Yes,Bachelor degree,IELTS,,4,6.5,,https://future-students.uq.edu.au/study/programs/graduate-certificate-animal-science-5565,English,A,"The Graduate Certificate in Animal Science is designed for recent graduates in any field, and for established professionals wanting to upgrade their management skills or redirect their career into animal science.For your half year of full-time studies, you'll select from over 40 courses, providing you with a high level of specialised knowledge together with valuable skills associated with your selected areas of study.Graduates from UQ's Animal Science program demonstrate the ability to apply leadership, research and problem-solving skills to meet the global challenges associated with feeding the world, and maintaining our environment in situations of increasing community expectations of animal welfare, biosecurity concerns, and competition for limited resources. This expands your career prospects into a wide range of government, commercial, community or research-based roles.Read less","
Postgraduate study can take you anywhere. Here are some of the careers you could be on your way to:Animal nutritionistAnimal research scientistBiosecurity officerCustoms officerEquine nutritionistEquine physical therapistLivestock adviser or consultantNational parks and wildlife officerWildlife ecologistWildlife scientist
",Australia,No,Yes,No,Yes,Yes,,Normal,No
MST,University Of Queenlands,Gatton,Master of Animal Science,Science,fees not listed,42528,AUD,Years,1.5,Years,Yes,Yes,Bachelor degree,IELTS,,5,6.5,,https://future-students.uq.edu.au/study/programs/master-animal-science-5570,English,A,"The Master of Animal Science is designed for recent agricultural, animal, biological, plant, equine, animal, wildlife, zoology or veterinary science graduates, and for established professionals wanting to upgrade their skills or redirect their career into animal science.For your 1.5 years of full-time studies, you'll select from more than 30 courses, including those within one of 3 specialised fields – Equine Science, Production Animal Science or Wildlife Biology – allowing you to tailor your studies to suit your interests and career goals.The program also gives you the opportunity to complete a significant research project, which may provide a pathway to higher degree by research programs.Graduates demonstrate the ability to apply leadership, research and problem-solving skills to meet the global challenges associated with feeding the world, and maintaining our environment in situations of increasing community expectations of animal welfare, biosecurity concerns and competition for limited resources.This expands your career prospects into a wide range of government, commercial, community or research-based roles.Read less","
Postgraduate study can take you anywhere. Depending on which field you choose, here are some of the careers you could be on your way to:Animal nutritionistAnimal research scientistBiosecurity officerCustoms officerEquine nutritionistEquine physical therapistLivestock adviser or consultantNational parks and wildlife officerWildlife ecologistWildlife scientist
",Australia,No,Yes,No,Yes,Yes,,Normal,No
MST,University Of Queenlands,Gatton,Master of Animal Science,Science,fees not listed,42528,AUD,Years,2,Years,Yes,Yes,Bachelor degree,Graduate Certificate,IELTS,,,6.5,https://future-students.uq.edu.au/study/programs/master-animal-science-5571,English,A,"The Master of Animal Science is designed for recent graduates in any field, those with a Graduate Certificate in Animal Science, and for established professionals wanting to upgrade their skills or redirect their career into animal science.For your 2 years' full-time studies, you'll select from over 30 courses, including those within one of 3 specialised fields – Equine Science, Production Animal Science or Wildlife Biology – allowing you to tailor your studies to suit your interests and career goals.The program also gives you the opportunity to complete a significant research project, which may provide a pathway to higher degree by research programs.Graduates have the leadership, research and problem-solving skills to meet the global challenges associated with feeding the world and maintaining our environment in situations of increasing community expectations of animal welfare, biosecurity concerns and competition for limited resources.This expands your career prospects into a wide range of government, commercial, community or research-based roles.Read less","
Postgraduate study can take you anywhere. Depending on which field you choose, here are some of the careers you could be on your way to:Animal nutritionistAnimal research scientistBiosecurity officerCustoms officerEquine nutritionistEquine physical therapistLivestock adviser or consultantNational parks and wildlife officerWildlife ecologistWildlife scientist
",Australia,No,Yes,No,Yes,Yes,,Normal,No
MST,University Of Queenlands,St Lucia,Master of Applied Econometrics,"Business, Economics & Law",fees not listed,40640,AUD,Years,1.5,Years,Yes,Yes,Bachelor degree,Bachelor degree,IELTS,5,,6.5,https://future-students.uq.edu.au/study/programs/master-applied-econometrics-5603,English,A,"A Master of Applied Econometrics provides a competitive edge in the job market, and UQ is one of only two universities in Australia to offer it.You'll develop advanced knowledge in core quantitative skills and econometric methods used in diverse areas of economics and finance. These include macroeconomics, quantitative finance, environmental and natural resource management, health, public sector management, business and economic modelling.You'll also explore answers to big questions, such as what are the keys to unlocking hidden patterns in big data? What are the reasons for quantitative easing of monetary policy around the world? Could econometrics modelling reduce the rich-poor divide? You'll examine these and other thought-provoking issues in the process of improving your quantitative and analytical abilities, critical thinking and logic, so you have what it takes to succeed in a variety of  future job roles.To fulfil the requirements of this program, you must complete 24 units from the course list: 14 units from Part A, and 10 units from Part B. If exemptions apply for Part A courses, you have to undertake electives from Part B. With Head of School approval, you may include 2 units for a level 7 course towards Part B.Read less","
Postgraduate study can take you anywhere. Here are some of the careers you could be on your way to:Quantitative, risk and financial analystForensic accountantComputational intelligence and control scientistData scientistEconomic policy analystQuantitative behavioural strategist
",Australia,No,Yes,No,Yes,Yes,,Normal,No
MST,University Of Queenlands,St Lucia,Master of Applied Econometrics,"Business, Economics & Law",fees not listed,40640,AUD,Years,2,Years,Yes,Yes,Graduate Certificate,IELTS,,,6.5,,https://future-students.uq.edu.au/study/programs/master-applied-econometrics-5632,English,A,"A Master of Applied Econometrics provides a competitive edge in the job market, and UQ is one of only two universities in Australia to offer it.You'll develop advanced knowledge in core quantitative skills and econometric methods used in diverse areas of economics and finance. These include macroeconomics, quantitative finance, environmental and natural resource management, health, public sector management, business and economic modelling.You'll also explore answers to big questions, such as what are the keys to unlocking hidden patterns in big data? What are the reasons for quantitative easing of monetary policy around the world? Could econometrics modelling reduce the rich-poor divide? You'll examine these and other thought-provoking issues in the process of improving your quantitative and analytical abilities, critical thinking and logic, so you have what it takes to succeed in a variety of  future job roles.To fulfil the requirements of this program, you must complete 32 units from the course list: 22 units from Part A and 10 units from Part B. If exemptions apply for Part A courses, you have to undertake electives from Part B. With Head of School approval, you may include 2 units for a level 7 course towards Part B.Read less","
Postgraduate study can take you anywhere. Here are some of the careers you could be on your way to:Quantitative, risk and financial analystForensic accountantComputational intelligence and control scientistData scientistEconomic policy analystQuantitative behavioural strategist
",Australia,No,Yes,No,Yes,Yes,,Normal,No
GCERT,University Of Queenlands,St Lucia,Graduate Certificate in Applied Linguistics,Humanities and Social Sciences,fees not listed,16056,AUD,Years,0.5,Years,Yes,Yes,IELTS,,,6.5,,,https://future-students.uq.edu.au/study/programs/graduate-certificate-applied-linguistics-5463,English,A,"The Graduate Certificate in Applied Linguistics is a professional development program designed for teachers of English and other second languages, as well as language professionals in translation, interpretation and other second language areas. You can choose to specialise in Applied Linguistics or Teaching of English to Speakers of Other Languages (TESOL) Studies.For your half year of full-time (or part-time equivalent) study, you'll select from nearly 20 courses in the linguistic, psychological, educational and socio-cultural aspects of language learning and use, and in language teaching methodology.The program has a strong national and international reputation. Graduates take up, and in many cases return to, teaching and administrative positions in high schools, universities and language schools in Australia and abroad. They also find employment in business and government positions that draw on the understanding of how languages are used in different settings and cultures.Read less","
Postgraduate study can take you anywhere. Depending on which field you choose, here are some of the careers you could be on your way to:Linguistics researcherInternational business consultantInterpreterTESOL teacherLanguage teacherLanguage program managerPrivate tutor
",Australia,No,Yes,No,Yes,Yes,,Normal,No
MST,University Of Queenlands,St Lucia,Master of Applied Linguistics,Humanities and Social Sciences,fees not listed,32112,AUD,Years,1.5,Years,Yes,Yes,approved degree,IELTS,,,6.5,,https://future-students.uq.edu.au/study/programs/master-applied-linguistics-5465,English,A,"The Master of Applied Linguistics is a professional development program designed for teachers of English and other second languages, as well as language professionals in translation, interpretation and other second language areas. You can choose to specialise in Applied Linguistics or Teaching of English to Speakers of Other Languages (TESOL) Studies.For your 1.5 years of full-time (or part-time equivalent) study, you'll select from more than 20 courses in the linguistic, psychological, educational and socio-cultural aspects of language learning and use, and in language teaching methodology.The program has a strong national and international reputation. Graduates take up, and in many cases return to, teaching and administrative positions in high schools, universities and language schools in Australia and abroad. They also find employment in business and government positions that draw on the understanding of how languages are used in different settings and cultures.Read less","
Postgraduate study can take you anywhere. Depending on which field you choose, here are some of the careers you could be on your way to:Linguistics researcherCryptologic linguistEnglish as a foreign language teacherForeign affairs and trade officerInternational business consultantInterpreterLanguage program manager
",Australia,No,Yes,No,Yes,Yes,,Normal,No
MST,University Of Queenlands,St Lucia,Master of Applied Linguistics,Humanities and Social Sciences,fees not listed,32112,AUD,Years,1,Years,Yes,No,bachelor honours degree,IELTS,,,6.5,,https://future-students.uq.edu.au/study/programs/master-applied-linguistics-5466,English,A,"The Master of Applied Linguistics is a professional development program designed for teachers of English and other second languages, as well as language professionals in translation, interpretation and other second language areas. You can choose to specialise in Applied Linguistics or Teaching of English to Speakers of Other Languages (TESOL) Studies.For your one year of full-time (or part-time equivalent) study, you'll select from nearly 20 courses in the linguistic, psychological, educational and socio-cultural aspects of language learning and use, and in language teaching methodology.The program has a strong national and international reputation. Graduates take up, and in many cases return to, teaching and administrative positions in high schools, universities and language schools in Australia and abroad. They also find employment in business and government positions that draw on the understanding of how languages are used in different settings and cultures.Read less","
Postgraduate study can take you anywhere. Depending on which field you choose, here are some of the careers you could be on your way to:Linguistics researcherCryptologic linguistInternational business consultantTESOL teacherLanguage teacherLanguage program manager
",Australia,No,Yes,No,Yes,No,,Normal,No
MST,University Of Queenlands,St Lucia,Master of Applied Linguistics,Humanities and Social Sciences,fees not listed,32112,AUD,Years,2,Years,Yes,Yes,IELTS,,,6.5,,,https://future-students.uq.edu.au/study/programs/master-applied-linguistics-5592,English,A,"The Master of Applied Linguistics is a professional development program designed for teachers of English and other second languages, as well as language professionals in translation, interpretation and other second language areas. You can choose to specialise in Applied Linguistics or Teaching of English to Speakers of Other Languages (TESOL) Studies.For your two years of full-time (or part-time equivalent) study, you'll select from nearly 30 courses in the linguistic, psychological, educational and socio-cultural aspects of language learning and use, and in language teaching methodology.The program has a strong national and international reputation. Graduates take up, and in many cases return to, teaching and administrative positions in high schools, universities and language schools in Australia and abroad. They also find employment in business and government positions that draw on the understanding of how languages are used in different settings and cultures.Read less","
Postgraduate study can take you anywhere. Depending on which field you choose, here are some of the careers you could be on your way to:Linguistics researcherInterpreterInternational business consultantTESOL teacherLanguage teacherLanguage program manager
",Australia,No,Yes,No,Yes,Yes,,Normal,No
MST,University Of Queenlands,St Lucia,Master of Architecture,"Engineering, Architecture & Information Technology",fees not listed,40640,AUD,Years,2,Years,Yes,Yes,IELTS,,,6.5,,,https://future-students.uq.edu.au/study/programs/master-architecture-5429,English,A,"The Master of Architecture is the second stage required to obtain a professional qualification in architecture, and builds on your core skills developed as an undergraduate.Through your masters study at UQ you'll gain a greater understanding of why architecture is such a dynamic and demanding profession, making a positive contribution to the shaping of our built environment and our culture.You'll also hone the essential skills of an architect, and your abilities to design buildings and spaces with an inherent concern for human living and society.You can choose from a range of courses that will develop your ideas about contemporary architectural practice. You'll challenge your thinking through topics such as housing and density, civic buildings and public space, and commercial architecture.Throughout the program you'll learn from professional architects and leading researchers who have strong local industry links and work to advance the discipline of architecture internationally.Read less","
Postgraduate study can take you anywhere. Here are some of the careers you could be on your way to:Industrial sector architect Architectural designerProject delivery architectPractice managerArchitectural technicianAssociate architect
",Australia,No,Yes,No,Yes,Yes,,Normal,No
GCERT,University Of Queenlands,St Lucia,Graduate Certificate in Arts in Chinese Translation and Interpreting,Humanities and Social Sciences,fees not listed,17400,AUD,Years,0.5,Years,Yes,No,IELTS,,,6.5,,,https://future-students.uq.edu.au/study/programs/graduate-certificate-arts-chinese-translation-and-interpreting-5451,English,A,"This program is designed to help you develop practical techniques and skills of translation between English and Chinese and interpreting between English and Mandarin.It seeks to help you understand the theories and professional aspects of translation and interpreting, and to apply them in practice. Emphasis will be placed on professional translation and interpreting.During this half year full-time program, you'll complete 4 courses, totalling 8 units. You'll have access to one of the top interpreter training facilities in Australia, equipped with a simultaneous interpreting booth that meets United Nations standards.Practicals will introduce you to, and involve you in, active translation and interpreting tasks within specific settings. You'll learn under the supervision of the program convenor, experienced translators and interpreters, or a mentor.Read less","
Postgraduate study can take you anywhere. Here are some of the careers you could be on your way to:Chinese translator/interpreterChinese language assistantConference translator/interpreterMedical translator/interpreterForeign affairs and trade officerInterpreter
",Australia,No,Yes,No,Yes,No,,Normal,No
MST,University Of Queenlands,St Lucia,Master of Arts in Chinese Translation and Interpreting,Humanities and Social Sciences,fees not listed,34800,AUD,Years,2,Years,Yes,No,IELTS,,,6.5,,,https://future-students.uq.edu.au/study/programs/master-arts-chinese-translation-and-interpreting-5593,English,A,"This 2-year program will give you an understanding of theories and professional aspects of translation and interpreting, and how to apply them in practice.Emphasis is placed on professional translation and interpreting from English into Chinese and vice versa, as well as interpreting between English and Mandarin. You'll also be trained in different areas including society, business and trade, law, science and technology, politics and international relations.By completing the master's program, you'll meet the first professional level specified by NAATI (National Accreditation Authority for Translators and Interpreters).You'll have access to one of the top interpreter training facilities in Australia, equipped with a simultaneous interpreting booth that meets United Nations standards.Practicals will introduce you to, and involve you in, active translation and interpreting tasks within specific settings. You'll learn under the supervision of the program convenor, experienced translators and interpreters, or a mentor.Read less","
Postgraduate study can take you anywhere. Here are some of the careers you could be on your way to:Chinese translator/interpreterInternational business translator/interpreterInterpreterLegal translator/interpreterForeign affairs officerMedical translator/interpreter
",Australia,No,Yes,No,Yes,No,,Normal,No
GCERT,University Of Queenlands,St Lucia,Graduate Certificate in Arts in Japanese Interpreting,Humanities and Social Sciences,fees not listed,NA,AUD,Years,1,Years,No,Yes,IELTS,,,6.5,,,https://future-students.uq.edu.au/study/programs/graduate-certificate-arts-japanese-interpreting-5436,English,D,"The Graduate Certificate in Arts in Japanese Interpreting is a one year part-time program offering a solid grounding in consecutive interpreting to students wishing to specialise in liaison interpreting, rather than conference interpreting or translation.You'll work in both directions – Japanese to English and English to Japanese. All materials covered in interpreting class are authentic and cover a range of subjects likely to arise in a real liaison interpreting setting. This program is one of just two in Australia to be listed on the International Association of Conference Interpreters (AIIC) Schools and Programmes Directory, which only features programs that meet its training criteria.As a student, you'll have access to one of the top facilities in Australia, completely refurbished in 2019, with the same simultaneous interpreting equipment used in the UN and other major European organisations.Read more","
Postgraduate study can take you anywhere. Here are some of the careers you could be on your way to:InterpreterForeign affairs and trade officialLiaison officerCultural support liaisonJapanese interpreterJapanese-speaking logistics manager
",Australia,No,Yes,No,Yes,No,,Normal,No
MST,University Of Queenlands,St Lucia,Master of Arts in Japanese Interpreting and Translation,Humanities and Social Sciences,fees not listed,34800,AUD,Years,2,Years,Yes,No,IELTS,,,6.5,,,https://future-students.uq.edu.au/study/programs/master-arts-japanese-interpreting-and-translation-5207,English,A,"The Master of Arts in Japanese Interpreting and Translation (MAJIT) is Australia’s leader in Japanese interpreting and translation. This program is one of only two in Australia to be listed on the International Association of Conference Interpreters (AIIC) Schools and Programmes Directory.It covers four broad, interlinked areas of study: theoretical and practical training in interpreting techniques; theoretical and practical training in translation techniques; training in ancillary skills such as public speaking and job-specific research; and training in professional areas such as ethics and business skills.You'll have access to one of the top facilities in Australia, with the same simultaneous interpreting equipment used in the UN. All materials covered in interpreting classes are authentic and cover a range of subjects likely to arise in a real conference interpreting setting. Materials in translation classes also cover a range of subjects, including highly specialised areas of legal and medical translation.In the MAJIT program, you'll study both interpreting and translation, as the skills learned in one complement the other. You'll study translation into your native language (English or Japanese) only, and interpreting (consecutive and simultaneous) in both directions.Read less","
Postgraduate study can take you anywhere. Here are some of the careers you could be on your way to:Conference translator/interpreterInternational business translator/interpreterForeign affairs and trade officialMedical translator/interpreterLegal translator/interpreterInterpreterJapanese cultural adviserJapanese interpreterJapanese translator
",Australia,No,Yes,No,Yes,No,,Normal,No
DIP,University Of Queenlands,St Lucia,Graduate Diploma in Arts in Japanese Interpreting and Translation,Humanities and Social Sciences,fees not listed,34800,AUD,Years,1,Years,Yes,Yes,IELTS,,,6.5,,,https://future-students.uq.edu.au/study/programs/graduate-diploma-arts-japanese-interpreting-and-translation-5438,English,A,"The Graduate Diploma in Arts in Japanese Interpreting and Translation is a one year, full-time program in interpreting and translation offering a solid grounding in translation and consecutive interpreting. Translation is in one direction only, into students' native language, while interpreting is performed in both directions – Japanese to English and English to Japanese.This program is one of just two in Australia to be listed on the International Association of Conference Interpreters (AIIC) Schools and Programmes Directory, which only features programs that meet its training criteria.You'll have access to one of the top facilities in Australia, completely refurbished in 2019, featuring the same simultaneous interpreting equipment used in the UN and other major European organisations.All materials covered in interpreting classes are authentic and cover a range of subjects likely to arise in a real conference interpreting setting.Read less","
Postgraduate study can take you anywhere. Here are some of the careers you could be on your way to:Japanese cultural adviserInternational business translator/interpreterLegal translator/interpreterMedical translator/interpreterInterpreterConference translator/interpreterForeign language analyst
",Australia,No,Yes,No,Yes,Yes,,Normal,No
